rank,precision,recall
132,0.9075746385569129,0.504248492685756
133,0.9068313323930233,0.5066526550041515
134,0.9060991203509811,0.5090568173225464
135,0.9053777558947388,0.511460979640949
136,0.9046669997393361,0.5138651419593446
137,0.9039666195861966,0.5162693042777421
138,0.9032763898700561,0.5186734665961396
139,0.9025960915167405,0.5210776289145339
140,0.9019255117113328,0.5234817912329294
141,0.9012644436762102,0.52588595355133
142,0.9006126864584815,0.5282901158697276
143,0.8999700447263264,0.5306942781881232
144,0.8991670769735814,0.5329280053286999
145,0.8983751846381088,0.5351617324692733
146,0.8975941401428541,0.5373954596098502
147,0.8968237221033177,0.5396291867504249
148,0.8960637151183638,0.5418629138910033
149,0.895313909569458,0.5440966410315783
150,0.8945741014278681,0.5463303681721546
151,0.8938440920696138,0.5485640953127309
152,0.8931285469952523,0.550799305490329
153,0.8924223554512853,0.5530345156679266
154,0.8917253352260733,0.5552697258455253
155,0.8910373088102183,0.5575049360231259
156,0.8903581032458503,0.5597401462007237
157,0.8896875499816497,0.5619753563783204
158,0.8890254847334625,0.5642105665559183
159,0.8883717473500338,0.5664457767335188
160,0.8877261816838953,0.5686809869111168
161,0.8870886354670356,0.5709161970887172
162,0.8864589601911129,0.5731514072663156
163,0.8856512401337611,0.5751996998517774
164,0.884853370320996,0.5772479924372372
165,0.8840651716574873,0.5792962850227007
166,0.8832864693634201,0.5813445776081596
167,0.8825170928453226,0.5833928701936236
168,0.8817568755714985,0.5854411627790848
169,0.8810056549517941,0.5874894553645467
170,0.8802632722217396,0.5895377479500102
171,0.8795295723306324,0.5915860405354668
172,0.8788044038336003,0.5936343331209335
173,0.8780876187874048,0.5956826257063943
174,0.8773790726497906,0.5977309182918603
175,0.8766786241823212,0.599779210877319
176,0.8759861353565223,0.601827503462781
177,0.87530147126321,0.6038757960482413
178,0.8746245000248906,0.605924088633704
179,0.8739550927110219,0.6079723812191651
180,0.8732931232561997,0.6100206738046251
181,0.8726384683809841,0.6120689663900913
182,0.871991007515375,0.6141172589755503
183,0.8713506227248188,0.6161655515610134
184,0.8707171986384992,0.6182138441464702
185,0.869906982314665,0.6200774986226302
186,0.8691054779943097,0.6219411530987887
187,0.8683125459126815,0.6238048075749453
188,0.8675280492787402,0.6256684620511019
189,0.8667518541964605,0.6275321165272553
190,0.8659838295887401,0.6293957710034124
191,0.8652238471235132,0.6312594254795678
192,0.8644717811422992,0.6331230799557244
193,0.863727508590937,0.6349867344318818
194,0.8629909089524742,0.6368503889080376
195,0.8622618641820986,0.6387140433841921
196,0.8615402586440777,0.6405776978603456
197,0.8608222300534534,0.6424361876341419
198,0.8601114542768915,0.6442946774079421
199,0.859407821975465,0.6461531671817408
200,0.8587112259970419,0.6480116569555436
201,0.8580215613219002,0.6498701467293366
202,0.8573387250098723,0.6517286365031371
203,0.856662616149189,0.653587126276931
204,0.8559931358067568,0.6554456160507327
205,0.8553301869798585,0.6573041058245276
206,0.8546736745493425,0.6591625955983259
207,0.8540235052340929,0.6610210853721264
208,0.8533795875468697,0.6628795751459219
209,0.8525580770780206,0.6645534268104148
210,0.8517443905183937,0.6662272784749028
211,0.8509384166275844,0.6679011301393988
212,0.8501400462640378,0.6695749818038879
213,0.8493491723358467,0.6712488334683812
214,0.8485656897527634,0.672922685132874
215,0.8477894953797503,0.6745965367973669
216,0.8470204879916802,0.6762703884618598
217,0.8462585682293096,0.6779442401263531
218,0.84550363855651,0.6796180917908464
219,0.844755603218612,0.6812919434553348
220,0.8440143682019655,0.6829657951198302
221,0.8432764993282905,0.6846344820819601
222,0.842545277921931,0.6863031690440949
223,0.8418206145551171,0.6879718560062286
224,0.8411024213969179,0.6896405429683639
225,0.840390612177915,0.6913092299304985
226,0.8396851021555266,0.6929779168926297
227,0.8389858080804737,0.6946466038547682
228,0.8382926481639819,0.6963152908169
229,0.8376055420458834,0.697983977779035
230,0.8369244107635985,0.6996526647411699
231,0.8362491767218517,0.7013213517033011
232,0.8355797636632216,0.7029900386654355
233,0.8349160966394301,0.7046587256275688
234,0.8342581019833641,0.7063274125897021
235,0.8336057072818126,0.7079960995518328
236,0.8329588413489141,0.7096647865139676
237,0.8321335751547211,0.7111488353668005
238,0.8313152439705561,0.7126328842196242
239,0.8305037607460867,0.7141169330724535
240,0.8296990398818332,0.7156009819252789
241,0.8289009971990228,0.7170850307781106
242,0.8281095499102716,0.7185690796309365
243,0.8273246165909868,0.7200531284837699
244,0.826546117151368,0.7215371773365992
245,0.825773972809215,0.7230212261894251
246,0.8250081060633355,0.7245052750422544
247,0.8242484406676295,0.7259893238950772
248,0.8234949016057641,0.7274733727479067
249,0.8227474150664699,0.7289574216007326
250,0.8220059084194916,0.7304414704535656
251,0.8212703101920263,0.7319255193063916
252,0.8205405500457151,0.7334095681592211
253,0.8198165587543277,0.7348936170120505
254,0.8190982681817603,0.7363776658648769
255,0.8183856112607536,0.7378617147177085
256,0.817678521971935,0.7393457635705342
257,0.8169769353235008,0.7408298124233634
258,0.816280787331245,0.7423138612761897
259,0.8155900149991727,0.7437979101290192
260,0.8149045563004195,0.7452819589818481
261,0.8142243501587488,0.7467660078346745
262,0.8135493364303724,0.7482500566875038
263,0.8128794558862317,0.7497341055403344
264,0.8122146501947112,0.751218154393159
265,0.8115548619046272,0.7527022032459818
266,0.8109000344287653,0.7541862520988104
267,0.8102501120276143,0.7556703009516405
268,0.8094204016843414,0.7569690201666622
269,0.8085968601911965,0.7582677393816919
270,0.8077794190054265,0.7595664585967131
271,0.8069680105959096,0.7608651778117372
272,0.8061625684247109,0.7621638970267584
273,0.8053630269287604,0.763462616241779
274,0.8045666260552584,0.764756170754445
275,0.8037760171881301,0.7660497252671081
276,0.8029911373707531,0.7673432797797778
277,0.8022119245556686,0.7686368342924407
278,0.801438317588174,0.7699303888051072
279,0.8006702561903402,0.7712239433177701
280,0.799907680945349,0.7725174978304362
281,0.7991505332821687,0.7738110523430982
282,0.7983987554605753,0.7751046068557662
283,0.7976522905564409,0.7763981613684326
284,0.7969110824474186,0.7776917158810955
285,0.7961750757987995,0.7789852703937618
286,0.7954442160498301,0.7802788249064246
287,0.7947184494001495,0.7815723794190905
288,0.7939977227966528,0.7828659339317574
289,0.7932819839205144,0.7841594884444256
290,0.7925711811745538,0.7854530429570877
291,0.7918652636708378,0.7867465974697506
292,0.7911641812185088,0.7880401519824167
293,0.7904678843119305,0.7893337064950801
294,0.789776324119013,0.7906272610077459
295,0.7890894524697672,0.7919208155204128
296,0.7884072218451819,0.7932143700330774
297,0.7877295853662198,0.7945079245457431
298,0.7870564967830856,0.7958014790584071
299,0.7863879104647256,0.7970950335710687
300,0.7857237813884741,0.7983885880837317
301,0.7850640651300146,0.7996821425963998
302,0.7844087178534043,0.8009756971090639
303,0.7837576963013949,0.8022692516217298
304,0.7829263196765904,0.8033775586583912
305,0.782100394701798,0.8044858656950529
306,0.7812798679294438,0.8055941727317146
307,0.7804646866083831,0.806702479768372
308,0.7796547986725246,0.8078107868050377
309,0.7788501527297824,0.808919093841699
310,0.7780506980511751,0.8100274008783616
311,0.7772563845602181,0.8111357079150231
312,0.7764671628224042,0.8122440149516846
313,0.7756829840349941,0.8133523219883465
314,0.7749038000169278,0.8144606290250117
315,0.774129563198989,0.8155689360616732
316,0.7733602266140646,0.816677243098331
317,0.7725957438877195,0.817785550134996
318,0.771836069228845,0.8188938571716569
319,0.7710811574204849,0.8200021642083183
320,0.7703309638109281,0.8211104712449799
321,0.7695854443048659,0.8222187782816454
322,0.7688445553547361,0.8233270853183067
323,0.7681082539522844,0.8244353923549688
324,0.767376497620223,0.8255436993916306
325,0.7666492444040486,0.8266520064282883
326,0.7659264528640509,0.8277603134649498
327,0.7652080820674028,0.8288686205016124
328,0.7644940915805005,0.8299769275382743
329,0.7637844414612954,0.8310852345749358
330,0.7630790922519045,0.8321935416115974
331,0.7623780049712793,0.8333018486482592
332,0.7616811411080008,0.8344101556849207
333,0.7609884626132776,0.8355184627215785
334,0.7602999318939656,0.8366267697582436
335,0.7596155118058112,0.8377350767949053
336,0.7589351656467586,0.8388433838315663
337,0.7582588571503719,0.8399516908682277
338,0.7575865504794013,0.8410599979048897
